"Date","Ticker","Entry_Price","Conviction","Market_Cap","ATR_Value","Stop_Loss","Breakeven_Trigger","Thesis","Status","Shares_Count","Position_Cost","Risk_R_Unit","Exit_Price","Realized_PL"
"2026-02-10 09:47:40","VSTS","9.68","8","$965M","0.47","9.0","10.7","Turnaround play confirmed by a massive 66% EPS beat ($0.10 vs $0.06 est) reported today. Despite the profitability surge and reaffirmed outlook, the stock is virtually flat (+0.07%), suggesting the market has not yet priced in the operational improvements and cost savings.","STOPPED_OUT","20.0","193.6","0.68","9.0","-13.6"
"2026-02-10 09:47:42","ICHR","43.28","8","$1.05B","3.3","40.25","47.82","Semiconductor equipment supplier signaling the 'trough is over' with a Q4 beat and Q1 guidance significantly above consensus ($250M revenue midpoint vs $239M est). The stock rose ~6% post-market, staying within the 8% buy limit, validating the trend without overextending.","CLOSED","4.0","173.12","3.03","46.71","13.72"
"2026-02-10 09:47:43","IRMD","105.11","7","$1.23B","3.7","99.56","113.43","Consistent compounder delivered another double beat (EPS $0.54 vs $0.49) today with minimal price reaction (+1.9%). High-quality medical device play (MRI pumps) trading at a discount to its growth consistency.","CLOSED","1.0","105.11","5.55","101.68","-3.43"
"2026-02-11 09:22:27","BL","44.33","8","$2.64B","2.47","41.23","48.98","Classic PEAD play following a 'Beat and Raise' Q4 report. The company raised FY2026 guidance significantly above consensus, driven by accelerating demand for its AI-powered 'Verity' finance automation platform, yet the after-hours reaction (+3%) appears muted relative to the fundamental improvement.","STOPPED_OUT","2.2558","100.0","3.1","41.23","-6.99"
"2026-02-12 09:16:20","CALX","52.69","8","$3.62B","3.25","49.0","58.22","Classic PEAD setup: Calix reported a Q4 earnings beat ($0.39 EPS vs estimates) and strong AI platform demand on Feb 12, yet the stock is flat/down (-0.18%), creating a divergence between fundamentals and price action.","CLOSED","1.8979","100.0","3.69","53.03","0.65"
"2026-02-12 09:16:22","GDYN","6.5","7","$600M","0.42","6.04","7.18","Double Catalyst: Company gained 'Preferred Vendor' status with a major cloud provider (Feb 11) and saw significant insider buying (72k shares) on Feb 10 while trading at 52-week lows.","CLOSED","15.3846","100.0","0.46","6.4","-1.54"
"2026-02-13 09:09:55","PEGA","40.59","9","$3.5B","3.06","37.75","44.85","Irrational selloff following Q4 earnings has created a deep value opportunity, especially given the massive FY26 guidance beat ($2.75 EPS vs $2.22 est) which implies significant undervaluation.","CLOSED","2.4637","100.0","2.84","45.0","10.86"
"2026-02-13 09:09:56","FROG","53.3","8","$6.2B","3.75","49.57","58.9","Market is focusing on a backward-looking Q4 earnings miss while ignoring a massive FY26 guidance raise where management doubled EPS expectations ($0.88-$0.92 vs $0.43 est).","STOPPED_OUT","1.8762","100.0","3.73","49.57","-7.0"
"2026-02-13 09:09:58","PSEC","2.89","7","$1.4B","0.1","2.74","3.12","High-conviction insider buying from the COO ($2.75M purchase) signals confidence in dividend sustainability and NAV stability despite broader BDC sector headwinds.","CLOSED","34.6021","100.0","0.15","3.02","4.5"
"2026-02-16 09:11:48","OCUL","8.88","9","$1.93B","0.63","8.26","9.81","Critical Phase 3 SOL-1 topline data for AXPAXLI (wet AMD) due Feb 17; 'single biggest biotech catalyst of the week' with potential acquisition interest from Sanofi if positive.","STOPPED_OUT","11.2613","100.0","0.62","8.26","-6.98"
"2026-02-16 09:11:50","PSNL","8.21","8","$729M","0.79","7.64","9.07","Major shareholder Tempus AI (10% Owner) aggressively accumulated ~$2.7M worth of shares between Feb 11-13, signaling strong undervaluation confidence.","CLOSED","12.1803","100.0","0.57","8.28","0.85"
